"event.year";"event.city";"awarding.country";"pts";"recipient.country";"event.type";"event.id";"page"
1959;"Cannes";"Belgium";2;"France";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Belgium";2;"United Kingdom";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Belgium";1;"Italy";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Belgium";1;"Germany";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Belgium";1;"Switzerland";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Denmark";4;"France";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Denmark";2;"Switzerland";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Denmark";2;"Belgium";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Denmark";1;"Sweden";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Denmark";1;"United Kingdom";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"France";4;"The Netherlands";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"France";3;"Italy";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"France";2;"Germany";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"France";1;"United Kingdom";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Germany";4;"France";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Germany";3;"Belgium";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Germany";2;"The Netherlands";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Germany";1;"Switzerland";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Italy";7;"The Netherlands";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Italy";1;"Denmark";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Italy";1;"France";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Italy";1;"Germany";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Monaco";2;"France";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Monaco";2;"United Kingdom";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Monaco";1;"Italy";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Monaco";1;"Denmark";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Monaco";1;"The Netherlands";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Monaco";1;"Switzerland";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Monaco";1;"Austria";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Monaco";1;"Belgium";"final";"cannes-1959";"scoreboard"
1959;"Cannes";"Sweden";4;"Denmark";"final";"cannes-1959";"scoreboard"
